,DateTime,yr,mnth,hr,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt
1,01-01-2011 00:00,2011,Jan,0,Saturday,0,Clear Or Cloudy,0.24,0.81,0,0.903677461,1.877443751,2.02219706
2,01-01-2011 01:00,2011,Jan,1,Saturday,0,Clear Or Cloudy,0.22,0.8,0,1.543731421,2.511183907,2.669925001
3,01-01-2011 02:00,2011,Jan,2,Saturday,0,Clear Or Cloudy,0.22,0.8,0,1.229715809,2.390679857,2.511183907
4,01-01-2011 03:00,2011,Jan,3,Saturday,0,Clear Or Cloudy,0.24,0.75,0,0.903677461,1.696158711,1.877443751
5,01-01-2011 04:00,2011,Jan,4,Saturday,0,Clear Or Cloudy,0.24,0.75,0,-0.5,0.29248125,0.29248125
6,01-01-2011 05:00,2011,Jan,5,Saturday,0,Mist,0.24,0.75,0.0896,-0.5,0.29248125,0.29248125
7,01-01-2011 06:00,2011,Jan,6,Saturday,0,Clear Or Cloudy,0.22,0.8,0,0.660964047,-0.5,0.660964047
8,01-01-2011 07:00,2011,Jan,7,Saturday,0,Clear Or Cloudy,0.2,0.86,0,0.29248125,0.660964047,0.903677461
9,01-01-2011 08:00,2011,Jan,8,Saturday,0,Clear Or Cloudy,0.24,0.75,0,0.29248125,1.453445298,1.543731421
10,01-01-2011 09:00,2011,Jan,9,Saturday,0,Clear Or Cloudy,0.32,0.76,0,1.543731421,1.350219859,1.928990498
11,01-01-2011 10:00,2011,Jan,10,Saturday,0,Clear Or Cloudy,0.38,0.76,0.2537,1.821928095,2.307354922,2.594912279
12,01-01-2011 11:00,2011,Jan,11,Saturday,0,Clear Or Cloudy,0.36,0.81,0.2836,2.363960227,2.465368669,2.910089481
13,01-01-2011 12:00,2011,Jan,12,Saturday,0,Clear Or Cloudy,0.42,0.77,0.2836,2.441321525,2.897207933,3.200439718
14,01-01-2011 13:00,2011,Jan,13,Saturday,0,Mist,0.46,0.72,0.2985,2.784927804,2.784927804,3.281121212
15,01-01-2011 14:00,2011,Jan,14,Saturday,0,Mist,0.46,0.72,0.2836,2.57487356,3.079935668,3.36735481
16,01-01-2011 15:00,2011,Jan,15,Saturday,0,Mist,0.44,0.77,0.2985,2.669925001,3.069775676,3.39395128
17,01-01-2011 16:00,2011,Jan,16,Saturday,0,Mist,0.42,0.82,0.2985,2.687519716,2.857122759,3.27344723
18,01-01-2011 17:00,2011,Jan,17,Saturday,0,Mist,0.44,0.82,0.2836,1.977098155,2.857122759,3.038407799
19,01-01-2011 18:00,2011,Jan,18,Saturday,0,Light Rain Or Snow,0.42,0.88,0.2537,1.623963757,2.363960227,2.57487356
20,01-01-2011 19:00,2011,Jan,19,Saturday,0,Light Rain Or Snow,0.42,0.88,0.2537,1.350219859,2.488639962,2.614409345
21,01-01-2011 20:00,2011,Jan,20,Saturday,0,Mist,0.4,0.87,0.2537,1.761780978,2.336212671,2.594912279
